assembly,protein_id,signalp3_nn,signalp3_nn_d,signalp3_hmm,signalp3_hmm_s,signalp4,signalp4_d,signalp5,signalp5_d,signalp5_prediction,phobius_tm_count,phobius_has_sp,phobius_prediction,effectorp1,effectorp1_prob,effectorp2,effectorp2_prob,effectorp3_cytoplasmic_fungal,effectorp3_apoplastic_fungal,effectorp3_noneffector_fungal,effectorp3_prediction_fungal,effectorp3_cytoplasmic_nonfungal,effectorp3_apoplastic_nonfungal,effectorp3_noneffector_nonfungal,effectorp3_prediction_nonfungal,deepredeff_fungi,deepredeff_oomycete,apoplastp,apoplastp_prediction,tmhmm_tm_count,tmhmm_prediction,localizer,signalp6,signalp6_d,signalp6_prediction,pfam_ids,pfam_names,pfam_best_evalues,has_selected_pfam_match,custom_score,score_rank
assembly3,assembly3_001048,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.976,TRUE,0.81,TRUE,0.997637,SP(Sec/SPI),1,TRUE,n4-12c20/21o366-387i,FALSE,1,FALSE,0.973,NA,NA,0.917,Non-effector,NA,NA,0.917,Non-effector,0.80039454,0.28532767,0.74,Non-apoplastic,0,len=472,NA,FALSE,0.876808,SP,PF01764.32,Lipase (class 3),9.3e-15,TRUE,6.931278908,1
assembly3,assembly3_000755,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.832,FALSE,0.307,FALSE,0.017837,OTHER,4,TRUE,n5-16c20/21o30-53i60-78o84-107i128-149o,FALSE,1,FALSE,0.986,NA,NA,0.986,Non-effector,NA,NA,0.986,Non-effector,0.44692773,0.44067785,0.88,Non-apoplastic,0,len=513,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",6.1e-8,TRUE,6.919585546,2
assembly3,assembly3_000581,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.638,TRUE,0.752,TRUE,0.884019,SP(Sec/SPI),0,TRUE,n5-17c25/26o,FALSE,1,FALSE,0.95,NA,NA,0.887,Non-effector,NA,NA,0.887,Non-effector,0.176011,0.3469084,0.86,Non-apoplastic,0,len=652,NA,FALSE,0.944401,SP,PF15635.11,GHH signature containing HNH/Endo VII superfamily nuclease toxin 2,0.072,TRUE,6.691402200000001,3
assembly3,assembly3_002698,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.999,TRUE,0.799,TRUE,0.984791,SP(Sec/SPI),0,TRUE,n8-18c23/24o,FALSE,1,FALSE,0.893,0.806,NA,NA,Cytoplasmic effector,0.703,NA,NA,Cytoplasmic effector,0.098141104,0.42849874,0.97,Non-apoplastic,0,len=197,NA,FALSE,0.999751,SP,PF00964.22,Elicitin,4.7e-17,TRUE,6.3908282208000005,4
assembly3,assembly3_004856,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.999,TRUE,0.795,TRUE,0.98896,SP(Sec/SPI),0,TRUE,n8-18c26/27o,FALSE,0.991,FALSE,0.834,NA,NA,0.731,Non-effector,NA,NA,0.731,Non-effector,0.91396177,0.53277713,0.61,Apoplastic,0,len=114,NA,FALSE,0.999752,SP,PF01083.28,Cutinase,4.7e-26,TRUE,6.2499923540000015,5
assembly3,assembly3_002381,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.883,FALSE,0.263,TRUE,0.57276,SP(Sec/SPI),0,TRUE,n20-31c36/37o,TRUE,0.998,TRUE,0.796,NA,0.773,NA,Apoplastic effector,NA,0.773,NA,Apoplastic effector,0.7048051,0.39343512,0.68,Apoplastic,0,len=179,NA,FALSE,0.87638,SP,PF03330.24,Lytic transglycolase,5.2e-12,TRUE,6.022161020000001,6
assembly3,assembly3_003478,RESULTS_MISSING,RESULTS_MISSING,TRUE,1,TRUE,0.798,TRUE,0.983122,SP(Sec/SPI),0,TRUE,n4-14c22/23o,FALSE,0.799,FALSE,0.859,0.538,NA,NA,Cytoplasmic effector,0.699,NA,NA,Cytoplasmic effector,0.07996392,0.24036083,0.56,Non-apoplastic,0,len=110,NA,FALSE,0.999634,SP,PF16810.10,"RXLR phytopathogen effector protein, Avirulence activity",2.9e-6,TRUE,6.016192784000001,7
assembly3,assembly3_001780,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.96,FALSE,0.437,TRUE,0.726791,SP(Sec/SPI),0,TRUE,n6-17c21/22o,TRUE,0.974,TRUE,0.695,0.617,NA,NA,Cytoplasmic effector,0.73,NA,NA,Cytoplasmic effector,0.7647542,0.4305411,0.56,Non-apoplastic,0,len=99,NA,NA,NA,NA,PF05630.16,Necrosis inducing protein (NPP1),7.9e-13,TRUE,5.505150840000001,8
assembly3,assembly3_002957,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.984,FALSE,0.202,FALSE,0.014528,OTHER,3,FALSE,o12-33i45-62o130-153i,FALSE,0.996,FALSE,0.687,NA,NA,0.825,Non-effector,NA,NA,0.825,Non-effector,0.008006901,0.37765777,0.66,Non-apoplastic,0,len=319,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",0.0082,TRUE,5.3327013802000005,9
assembly3,assembly3_006457,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.644,FALSE,0.233,FALSE,0.07739,OTHER,0,TRUE,n16-26c31/32o,FALSE,0.996,FALSE,1,NA,NA,0.66,Non-effector,NA,NA,0.679,Non-effector,0.9574909,0.2753418,0.8,Non-apoplastic,0,len=59,NA,NA,NA,NA,NA,NA,NA,NA,5.08769818,10
assembly3,assembly3_008273,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.976,FALSE,0.202,FALSE,0.029817,OTHER,0,TRUE,n6-16c21/22o,FALSE,1,FALSE,0.998,0.738,NA,NA,Cytoplasmic effector,0.692,NA,NA,Cytoplasmic effector,0.8902053,0.36804342,0.63,Non-apoplastic,0,len=53,NA,NA,NA,NA,NA,NA,NA,NA,5.068241060000001,11
assembly3,assembly3_008647,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.702,FALSE,0.369,FALSE,0.410788,OTHER,0,FALSE,o,FALSE,0.997,FALSE,0.993,NA,NA,0.62,Non-effector,NA,NA,0.62,Non-effector,0.96770847,0.33949035,0.57,Non-apoplastic,0,len=51,NA,NA,NA,NA,NA,NA,NA,NA,5.055641693999999,12
